policy,alpha,accepted_corrections,true_accepted_le40_eval_only,false_accepted_eval_only,dangerous_accepted_gt100m_eval_only,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,evaluation_distance_m,final_drift_per_100m
interval_50m_strict_a_accept_online,0.25,8,6,2,0,13.840340668003138,12.244218296167416,11.61697948373681,25.24084257925261,28.932266541852258,15.690356909586804,1704.9826649748272,0.9202648937089609
oracle_hit40_accept_eval_only,0.25,173,173,0,0,14.27678488926134,12.887055465366844,13.324080266329004,25.245373266714783,28.011131194686254,13.970495345278046,1704.9826649748272,0.8193922221188278
strict_b_accept_online,0.75,16,14,2,0,16.067242542894327,14.231695454986856,11.346993671366455,26.44808282305813,43.9871932006681,17.43686128147758,1704.9826649748272,1.0227002091974362
strict_a_accept_online,0.25,64,40,24,0,16.246379213870714,14.308387957697017,15.044503510859228,25.16524465497471,42.12044522728493,14.985891816901717,1704.9826649748272,0.878946872877618
strict_b_accept_online,0.5,16,14,2,0,17.19554103132895,16.030261890241178,13.13048255744815,29.374477893596488,33.91407677884754,17.124305523983512,1704.9826649748272,1.004368306831808
strict_a_accept_online,0.5,64,40,24,0,18.153992743122426,15.984121878276946,12.45801523796931,31.01910639153572,55.20996518830065,21.825432061020084,1704.9826649748272,1.2800970068128124
oracle_hit40_accept_eval_only,0.5,173,173,0,0,18.792766631273132,17.634477678100094,17.99175197902867,28.40981029902078,33.985603758640124,14.579016192845963,1704.9826649748272,0.8550829572839799
interval_200m_strict_a_accept_online,0.5,3,3,0,0,19.550939906711765,17.641240442271194,14.56331772996884,40.37459105649049,41.264648016199786,20.569115088138602,1704.9826649748272,1.2064119777101832
strict_b_accept_online,0.25,16,14,2,0,20.11337785500009,18.74807887897512,17.5340575346734,32.53486780935491,40.02838867920884,21.204355799164226,1704.9826649748272,1.2436698762258263
strict_b_accept_online,1.0,16,14,2,0,20.487750369567003,18.84470419888001,18.94389644128746,28.783571085658284,52.41593722060551,24.686917424616855,1704.9826649748272,1.4479277667601
interval_100m_strict_a_accept_online,0.5,4,4,0,0,20.625932019610676,16.875471272416565,13.710689959256857,44.93886570138705,46.34093809974659,7.075590404344344,1704.9826649748272,0.41499485887434573
